"ID_pelanggan"	"personal_loan"
"1"	1369460	10272.3027500171
"2"	1181596	11780.3619539321
"3"	269836	11520.3952590845
"4"	227318	12257.5916071
"5"	324029	11784.395440561
"6"	863391	12331.7258913839
"7"	1241975	11450.0505241012
"8"	415575	11276.8407062496
"9"	964297	11003.3780470914
"10"	591244	9641.64512917047
"11"	540956	9782.94756978947
"12"	1171358	10522.6944897007
"13"	220135	11424.0149657951
"14"	1110962	9884.66812763736
"15"	565740	10997.6322080723
"16"	535114	12993.4909388461
"17"	683867	12881.078081123
"18"	1239496	10404.550488421
"19"	65004	10924.4774079503
"20"	206122	11488.6438156311
"21"	948494	11863.3330996253
"22"	136206	10477.663528251
"23"	468344	11332.5128138842
"24"	423279	10449.8898353839
"25"	503412	11323.0570248716
"26"	1269051	13723.8292181273
"27"	262234	11588.6194261839
"28"	897580	9950.78571111816
"29"	578596	10982.3535888247
"30"	1016594	10910.068373577
"31"	67776	10877.2164790798
"32"	1402550	13146.4735051566
"33"	180009	11462.5709898865
"34"	42374	10290.6976661954
"35"	432526	10352.5337328264
"36"	84636	11171.8996028081
"37"	1339166	11652.4424235901
"38"	512594	11290.4982268063
"39"	111870	10472.1524428577
"40"	1393715	12195.5937978767
"41"	5641	10871.2688184849
"42"	1176266	10815.3491314146
"43"	149429	12259.2836973815
"44"	1264160	11676.2168806803
"45"	1032120	13251.2940335434
"46"	1184851	11062.2049685754
"47"	195539	12520.1544289582
"48"	497970	12140.1613899633
"49"	430516	12359.2778445146
"50"	1065669	11719.7740741341
"51"	174248	11106.9288092505
"52"	980412	10682.3224558794
"53"	761424	11514.4796744531
"54"	510349	12054.7716438958
"55"	1048652	10918.197184602
"56"	376508	12596.6031032226
"57"	900377	11188.0204355853
"58"	1169067	10911.9905690286
"59"	316205	12896.9849670747
"60"	1022619	11755.2408410283
"61"	33828	11718.530470909
"62"	395888	12395.7383402727
"63"	199788	12440.0037677927
"64"	1037857	10495.3482350938
"65"	499637	11014.9076077315
"66"	96964	11068.7544578922
"67"	308107	12785.8288989962
"68"	364991	11947.5248531913
"69"	705752	10937.9095768222
"70"	1371785	10292.0082568748
"71"	303624	9889.2900514203
"72"	938913	11454.9083360525
"73"	491848	11662.4805733638
"74"	1295682	9977.37708117155
"75"	616498	12626.4148349328
